id,query,Cooking Approach,Cooks For,Cuisine,Dietary Requirements,Persona,Preparation Constraints,Scenario,Skill Level
8,What's a quick Japanese sautéed dish I can whip up for myself that's dairy-free?,Sautéing,Individual,Japanese,Dairy-Free,College Student,Quick Meals,Quick Summaries,Comfortable Home Cook
2,What's a quick Mediterranean grilling recipe that's gluten-free and family-friendly for a busy parent like me?,Grilling,Family-friendly,Mediterranean,Gluten-Free,Busy Parent,Quick Meals,Health & Wellness Goals,Comfortable Home Cook
5,"I'm hosting a party and I need a nut-free, comforting American dessert I can bake. Any beginner-friendly recipes that feel a bit experimental?",Baking,Large Groups/Parties,American Fusion & Experimental,Nut-Free,Comfort-Food Lover,Leisurely Cooking,Occasion-Based Cooking,Absolute Beginner
6,"I'm looking for a low-sodium, budget-friendly Italian meal for the family that I can cook with basic kitchen items. Any suggestions?",Everyday Cooking,Family-friendly,Italian,Low-Sodium,Budget-Conscious Cook,Limited Gear,Eco & Ethical Considerations,Comfortable Home Cook
1,"I'm a college student on a budget. Got any quick and easy vegan Mexican recipes that use pantry staples? I'm very new to cooking, so make it simple!",Quick & Easy,Individual,Mexican,Vegan,College Student,Pantry Staples,Budget-Conscious,Absolute Beginner
4,I'm planning a special date night dinner and want to indulge in a French sous-vide dish that's keto-friendly. Any fancy recipe ideas that will impress?,Sous-vide,Couple/Date Night,French,Keto,Amateur Foodie,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
3,"Can you suggest an Instant Pot high-protein Indian meal that uses seasonal ingredients? I'm looking to batch cook for the week, and I love flavorful dishes!",Instant Pot,Meal Prep & Batch Cooking,Indian,High-Protein,Health Enthusiast,Seasonal Ingredients,Taste-Driven,Comfortable Home Cook
7,"I want to try my hand at some adventurous Middle Eastern dishes using a slow cooker for meal prep, but I need halal recipes that are easy for a beginner. Can you guide me step-by-step with ingredients I can find locally?",Slow Cooker,Meal Prep & Batch Cooking,Middle Eastern,Halal,Adventure Seeker,Locally Available,Detailed Guidance,Absolute Beginner
11,"What’s a quick, low-sugar Southern comfort dish I can make in the air fryer for just myself?",Air Fryer,Individual,Southern Fusion & Experimental,Low-Sugar,Comfort-Food Lover,Quick Meals,Taste-Driven,Comfortable Home Cook
9,"I'm planning a splurge-worthy, paleo Thai dinner for a date night. Any intricate gourmet recipes you'd recommend that utilize a fully equipped kitchen?",Gourmet & Intricate,Couple/Date Night,Thai,Paleo,Health Enthusiast,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
10,I'm a busy parent trying to find a simple Korean-inspired vegetarian dish that doesn't require much cooking. Any pantry-friendly ideas for the family?,Minimal/No-Cook,Family-friendly,Korean,Vegetarian,Busy Parent,Pantry Staples,Budget-Conscious,Absolute Beginner
12,I'm hosting a party and want to try roasting with seasonal ingredients for a traditional kosher dish. Any expert tips or recipe suggestions?,Roasting,Large Groups/Parties,Traditional/Authentic,Kosher,Amateur Foodie,Seasonal Ingredients,Occasion-Based Cooking,Culinary Expert
16,I'm hosting a large party and need a vegan grilling recipe with Mediterranean flavors. Any ideas that use seasonal ingredients and are eco-friendly?,Grilling,Large Groups/Parties,Mediterranean,Vegan,Busy Parent,Seasonal Ingredients,Eco & Ethical Considerations,Comfortable Home Cook
15,I'm planning a splurge-worthy Italian dinner for date night. Any sous-vide ideas that are nut-free and won't break the bank?,Sous-vide,Couple/Date Night,Italian,Nut-Free,Budget-Conscious Cook,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
13,"I'm looking for an easy Mexican dish I can whip up quickly, without seafood, using just basic kitchen tools. Can you walk me through it step by step?",Quick & Easy,Individual,Mexican,Seafood-Free,Adventure Seeker,Limited Gear,Interactive Guidance,Absolute Beginner
18,"Looking for a high-protein Indian dish I can batch-cook using an air fryer, any quick and healthy ideas?",Air Fryer,Meal Prep & Batch Cooking,Indian,High-Protein,Health Enthusiast,Quick Meals,Health & Wellness Goals,Comfortable Home Cook
19,"I'm planning a splurge-worthy French dessert for date night, any recommendations for a gluten-free bake that will impress?",Baking,Couple/Date Night,French,Gluten-Free,Amateur Foodie,Fully Equipped Kitchen,Splurge-Worthy,Culinary Expert
17,"Hey, can you suggest a simple egg-free Japanese dish I can make with basic ingredients I might already have in my pantry? I'm a total newbie on a student budget, so something cheap and easy, please!",Everyday Cooking,Individual,Japanese,Egg-Free,College Student,Pantry Staples,Budget-Conscious,Absolute Beginner
14,I'm looking for a healthy Chinese dish I can steam that's suitable for my family and is diabetic-friendly. Any ideas with locally available ingredients?,Steaming,Family-friendly,Chinese,Diabetic-Friendly,Health Enthusiast,Locally Available,Health & Wellness Goals,Comfortable Home Cook
